Algoritmo,Tamaño,Distribucion,Tiempo_ms_mean,Tiempo_ms_std,Tiempo_ms_min,Tiempo_ms_max,Memoria_MB_mean,Memoria_MB_std,Memoria_MB_min,Memoria_MB_max
MergeSort,1000,aleatoria,4.940613333201327,1.549419665098023,3.0024999996385304,10.579699999652803,0.016344197591145835,1.2501636485696994e-05,0.01633453369140625,0.01639556884765625
MergeSort,1000,inversa,3.479699999722167,1.1055289902644583,2.32510000023467,6.016100000124425,0.019073486328125,0.0,0.019073486328125,0.019073486328125
MergeSort,1000,ordenada,3.4585166666753744,0.9600906921265872,2.3261999995156657,6.310200000370969,0.019073486328125,0.0,0.019073486328125,0.019073486328125
MergeSort,10000,aleatoria,43.85748666657795,7.461198024395443,35.86399999949208,79.76759999837668,0.16096293131510417,6.921288599551047e-06,0.16095733642578125,0.160980224609375
MergeSort,10000,inversa,35.05236666678684,11.35961723618851,29.17639999941457,93.12429999954475,0.19073486328125,0.0,0.19073486328125,0.19073486328125
MergeSort,10000,ordenada,34.02192000006229,3.933183333353418,28.46739999949932,44.461800000135554,0.19073486328125,0.0,0.19073486328125,0.19073486328125
MergeSort,100000,aleatoria,594.6981800002808,205.21117499168335,464.27370000128576,1236.4643000000797,1.6466845194498698,1.4403940891632451e-05,1.6466751098632812,1.6467208862304688
MergeSort,100000,inversa,751.4331133334053,185.86286140805757,419.896699999299,1356.5407999994932,1.9073486328125,0.0,1.9073486328125,1.9073486328125
MergeSort,100000,ordenada,515.9181733334966,169.78010241128618,341.11289999964356,813.2949999999255,1.9073486328125,0.0,1.9073486328125,1.9073486328125
QuickSort,1000,aleatoria,4.098123333036104,1.0862929288909433,2.560899998570676,6.247799999982817,0.038218180338541664,0.008560232795833116,0.0269927978515625,0.05381011962890625
QuickSort,1000,inversa,2.2773966664317413,0.6038888279673821,1.6207000007852912,3.7198000009084353,0.0238494873046875,0.0,0.0238494873046875,0.0238494873046875
QuickSort,1000,ordenada,2.362646666673148,0.8509835734196701,1.6330999987985706,5.587400000877096,0.02382659912109375,0.0,0.02382659912109375,0.02382659912109375
QuickSort,10000,aleatoria,38.78268999991027,6.64264216682191,31.65369999987888,68.61790000039036,0.34651590983072916,0.06498998929777249,0.26769256591796875,0.5533218383789062
QuickSort,10000,inversa,25.852063333453163,4.7129997136151625,20.805800000744057,47.75150000023132,0.23798370361328125,0.0,0.23798370361328125,0.23798370361328125
QuickSort,10000,ordenada,25.65838333339343,3.021832031959587,21.290700000463403,35.51789999983157,0.237884521484375,0.0,0.237884521484375,0.237884521484375
QuickSort,100000,aleatoria,610.2434366667998,220.33354847460038,456.85279999997874,1172.6629000004323,3.7295984903971355,0.6644857748174227,2.683929443359375,5.207489013671875
QuickSort,100000,inversa,538.2732533333183,91.34679198312182,310.48160000136704,732.5268000004144,2.4347686767578125,0.0,2.4347686767578125,2.4347686767578125
QuickSort,100000,ordenada,408.78744333343394,135.8474637860722,268.3376999993925,743.9852000006795,2.4347381591796875,0.0,2.4347381591796875,2.4347381591796875
