Algoritmo,Tamaño,Distribucion,Replica,Tiempo_ms,Memoria_MB
QuickSort,1000,ordenada,18,1.74440000046161,0.02382659912109375
MergeSort,1000,ordenada,18,3.6445000005187467,0.019073486328125
QuickSort,1000,ordenada,19,1.8490000002202578,0.02382659912109375
MergeSort,1000,ordenada,19,2.5649000017438084,0.019073486328125
QuickSort,1000,ordenada,20,1.6537999999854947,0.02382659912109375
MergeSort,1000,ordenada,20,4.018599998744321,0.019073486328125
QuickSort,1000,ordenada,21,2.6605000002746237,0.02382659912109375
MergeSort,1000,ordenada,21,5.298500000208151,0.019073486328125
QuickSort,1000,ordenada,22,3.69450000107463,0.02382659912109375
MergeSort,1000,ordenada,22,4.043200000523939,0.019073486328125
QuickSort,1000,ordenada,23,3.165100000842358,0.02382659912109375
MergeSort,1000,ordenada,23,2.399499999228283,0.019073486328125
QuickSort,1000,ordenada,24,2.4771999997028615,0.02382659912109375
MergeSort,1000,ordenada,24,4.553999999188818,0.019073486328125
QuickSort,1000,ordenada,25,1.8565999998827465,0.02382659912109375
MergeSort,1000,ordenada,25,3.78169999930833,0.019073486328125
QuickSort,1000,ordenada,26,2.909999999246793,0.02382659912109375
MergeSort,1000,ordenada,26,3.1178000008367235,0.019073486328125
QuickSort,1000,ordenada,27,1.772200001141755,0.02382659912109375
MergeSort,1000,ordenada,27,3.422899999350193,0.019073486328125
QuickSort,1000,ordenada,28,5.587400000877096,0.02382659912109375
MergeSort,1000,ordenada,28,3.1423000000359025,0.019073486328125
QuickSort,1000,ordenada,29,1.7286999991483754,0.02382659912109375
MergeSort,1000,ordenada,29,3.187800000887364,0.019073486328125
QuickSort,1000,ordenada,30,1.7715000012685778,0.02382659912109375
MergeSort,1000,ordenada,30,3.8890999985596864,0.019073486328125
QuickSort,1000,inversa,1,1.8401999986963347,0.0238494873046875
MergeSort,1000,inversa,1,2.32510000023467,0.019073486328125
QuickSort,1000,inversa,2,1.664199999140692,0.0238494873046875
MergeSort,1000,inversa,2,2.4391999995714286,0.019073486328125
QuickSort,1000,inversa,3,1.6207000007852912,0.0238494873046875
MergeSort,1000,inversa,3,5.901399999856949,0.019073486328125
QuickSort,1000,inversa,4,3.515700000207289,0.0238494873046875
MergeSort,1000,inversa,4,5.518699999811361,0.019073486328125
QuickSort,1000,inversa,5,2.5003999999171356,0.0238494873046875
MergeSort,1000,inversa,5,3.135499999189051,0.019073486328125
