Algoritmo,Tamaño,Distribucion,Replica,Tiempo_ms,Memoria_MB
QuickSort,100000,aleatoria,30,615.3623000009247,4.57965087890625
MergeSort,100000,aleatoria,30,507.62269999904674,1.6467132568359375
QuickSort,100000,ordenada,1,286.40599999926053,2.4347381591796875
MergeSort,100000,ordenada,1,352.43529999934253,1.9073486328125
QuickSort,100000,ordenada,2,300.0093000009656,2.4347381591796875
MergeSort,100000,ordenada,2,359.2583999998169,1.9073486328125
QuickSort,100000,ordenada,3,278.9423000012903,2.4347381591796875
MergeSort,100000,ordenada,3,341.11289999964356,1.9073486328125
QuickSort,100000,ordenada,4,271.0901999998896,2.4347381591796875
MergeSort,100000,ordenada,4,350.9263000014471,1.9073486328125
QuickSort,100000,ordenada,5,286.87080000054266,2.4347381591796875
MergeSort,100000,ordenada,5,363.24620000050345,1.9073486328125
QuickSort,100000,ordenada,6,281.2315999999555,2.4347381591796875
MergeSort,100000,ordenada,6,371.7543000002479,1.9073486328125
QuickSort,100000,ordenada,7,298.37119999865536,2.4347381591796875
MergeSort,100000,ordenada,7,358.76250000001164,1.9073486328125
QuickSort,100000,ordenada,8,292.8074999999808,2.4347381591796875
MergeSort,100000,ordenada,8,476.3937999996415,1.9073486328125
QuickSort,100000,ordenada,9,293.3508999994956,2.4347381591796875
MergeSort,100000,ordenada,9,348.5152000012022,1.9073486328125
QuickSort,100000,ordenada,10,298.98250000042026,2.4347381591796875
MergeSort,100000,ordenada,10,342.9023999997298,1.9073486328125
QuickSort,100000,ordenada,11,280.9517000005144,2.4347381591796875
MergeSort,100000,ordenada,11,357.4269999990065,1.9073486328125
QuickSort,100000,ordenada,12,268.3376999993925,2.4347381591796875
MergeSort,100000,ordenada,12,360.12920000030135,1.9073486328125
QuickSort,100000,ordenada,13,304.45140000119864,2.4347381591796875
MergeSort,100000,ordenada,13,359.88910000014585,1.9073486328125
QuickSort,100000,ordenada,14,307.784200000242,2.4347381591796875
MergeSort,100000,ordenada,14,384.72160000128497,1.9073486328125
QuickSort,100000,ordenada,15,278.51209999971616,2.4347381591796875
MergeSort,100000,ordenada,15,347.3265000011452,1.9073486328125
QuickSort,100000,ordenada,16,340.9517000000051,2.4347381591796875
MergeSort,100000,ordenada,16,377.5139000008494,1.9073486328125
QuickSort,100000,ordenada,17,743.9852000006795,2.4347381591796875
MergeSort,100000,ordenada,17,742.587700000513,1.9073486328125
QuickSort,100000,ordenada,18,589.0808000003744,2.4347381591796875
MergeSort,100000,ordenada,18,702.3430000008375,1.9073486328125
QuickSort,100000,ordenada,19,546.7960000005405,2.4347381591796875
MergeSort,100000,ordenada,19,709.2629999988276,1.9073486328125
QuickSort,100000,ordenada,20,536.3586000003124,2.4347381591796875
MergeSort,100000,ordenada,20,676.9647999990411,1.9073486328125
QuickSort,100000,ordenada,21,556.1993999999686,2.4347381591796875
MergeSort,100000,ordenada,21,723.3972000012727,1.9073486328125
QuickSort,100000,ordenada,22,537.5311999996484,2.4347381591796875
MergeSort,100000,ordenada,22,676.7522999998619,1.9073486328125
QuickSort,100000,ordenada,23,498.2208000001265,2.4347381591796875
MergeSort,100000,ordenada,23,599.8435000001336,1.9073486328125
QuickSort,100000,ordenada,24,454.63999999992666,2.4347381591796875
MergeSort,100000,ordenada,24,645.7989999998972,1.9073486328125
QuickSort,100000,ordenada,25,512.4290999992809,2.4347381591796875
MergeSort,100000,ordenada,25,591.3675000010699,1.9073486328125
QuickSort,100000,ordenada,26,589.5253999988199,2.4347381591796875
MergeSort,100000,ordenada,26,624.3924000009429,1.9073486328125
QuickSort,100000,ordenada,27,503.5494000003382,2.4347381591796875
MergeSort,100000,ordenada,27,735.8996999992087,1.9073486328125
QuickSort,100000,ordenada,28,529.8552000003838,2.4347381591796875
MergeSort,100000,ordenada,28,662.3961999994208,1.9073486328125
QuickSort,100000,ordenada,29,502.5433000009798,2.4347381591796875
MergeSort,100000,ordenada,29,813.2949999999255,1.9073486328125
QuickSort,100000,ordenada,30,493.85780000011437,2.4347381591796875
MergeSort,100000,ordenada,30,720.9292999996251,1.9073486328125
QuickSort,100000,inversa,1,600.1956999989488,2.4347686767578125
MergeSort,100000,inversa,1,946.4294999997946,1.9073486328125
QuickSort,100000,inversa,2,480.3132999986701,2.4347686767578125
MergeSort,100000,inversa,2,469.59379999861994,1.9073486328125
QuickSort,100000,inversa,3,310.48160000136704,2.4347686767578125
MergeSort,100000,inversa,3,430.53710000094725,1.9073486328125
QuickSort,100000,inversa,4,319.2434000011417,2.4347686767578125
MergeSort,100000,inversa,4,419.896699999299,1.9073486328125
QuickSort,100000,inversa,5,406.2252999992779,2.4347686767578125
MergeSort,100000,inversa,5,573.5202000014397,1.9073486328125
QuickSort,100000,inversa,6,732.5268000004144,2.4347686767578125
MergeSort,100000,inversa,6,741.899699998612,1.9073486328125
QuickSort,100000,inversa,7,610.440300000846,2.4347686767578125
MergeSort,100000,inversa,7,832.1969999997236,1.9073486328125
QuickSort,100000,inversa,8,481.503299999531,2.4347686767578125
MergeSort,100000,inversa,8,749.352099999669,1.9073486328125
QuickSort,100000,inversa,9,537.6027999991493,2.4347686767578125
MergeSort,100000,inversa,9,782.6580000000831,1.9073486328125
QuickSort,100000,inversa,10,590.5447999994067,2.4347686767578125
MergeSort,100000,inversa,10,703.8469999988592,1.9073486328125
QuickSort,100000,inversa,11,597.1260000005714,2.4347686767578125
MergeSort,100000,inversa,11,761.6178999996919,1.9073486328125
QuickSort,100000,inversa,12,692.1942999997555,2.4347686767578125
MergeSort,100000,inversa,12,787.0523000001413,1.9073486328125
QuickSort,100000,inversa,13,624.171600000409,2.4347686767578125
MergeSort,100000,inversa,13,793.9931000000797,1.9073486328125
QuickSort,100000,inversa,14,526.5727999994851,2.4347686767578125
MergeSort,100000,inversa,14,659.226600000693,1.9073486328125
QuickSort,100000,inversa,15,484.1665000003559,2.4347686767578125
MergeSort,100000,inversa,15,737.7895000008721,1.9073486328125
QuickSort,100000,inversa,16,504.00509999963106,2.4347686767578125
MergeSort,100000,inversa,16,702.047599999787,1.9073486328125
QuickSort,100000,inversa,17,523.963100000401,2.4347686767578125
MergeSort,100000,inversa,17,1008.030900000449,1.9073486328125
QuickSort,100000,inversa,18,547.9902999995829,2.4347686767578125
MergeSort,100000,inversa,18,784.4251999995322,1.9073486328125
QuickSort,100000,inversa,19,520.6481999994139,2.4347686767578125
MergeSort,100000,inversa,19,663.0316999999195,1.9073486328125
QuickSort,100000,inversa,20,558.0226000001858,2.4347686767578125
MergeSort,100000,inversa,20,716.2881000003836,1.9073486328125
QuickSort,100000,inversa,21,519.8147999999492,2.4347686767578125
MergeSort,100000,inversa,21,733.91090000041,1.9073486328125
QuickSort,100000,inversa,22,509.565800000928,2.4347686767578125
MergeSort,100000,inversa,22,674.1323999995075,1.9073486328125
QuickSort,100000,inversa,23,598.7599000000046,2.4347686767578125
MergeSort,100000,inversa,23,968.6121000013372,1.9073486328125
QuickSort,100000,inversa,24,517.3384999998234,2.4347686767578125
MergeSort,100000,inversa,24,704.6454000010272,1.9073486328125
QuickSort,100000,inversa,25,576.5378000014607,2.4347686767578125
MergeSort,100000,inversa,25,701.1357999999746,1.9073486328125
QuickSort,100000,inversa,26,560.8351000009861,2.4347686767578125
MergeSort,100000,inversa,26,779.4770000000426,1.9073486328125
QuickSort,100000,inversa,27,538.1075999994209,2.4347686767578125
MergeSort,100000,inversa,27,661.0001999997621,1.9073486328125
QuickSort,100000,inversa,28,484.69179999847256,2.4347686767578125
MergeSort,100000,inversa,28,1356.5407999994932,1.9073486328125
QuickSort,100000,inversa,29,673.9314999995258,2.4347686767578125
MergeSort,100000,inversa,29,1058.5179000008793,1.9073486328125
QuickSort,100000,inversa,30,520.6770000004326,2.4347686767578125
MergeSort,100000,inversa,30,641.5869000011298,1.9073486328125
